metric,value
raw_people_rows,131
schema_people_rows,131
schema_names_rows,131
raw_relationship_rows,179
clean_relationship_rows,179
schema_event_rows,341
relationship_rejections,72
birth_event_rows,117
death_event_rows,117
father_of_event_rows,54
mother_of_event_rows,53
people_missing_gender,0
people_with_children,107
names_missing_first_name,3
names_missing_last_name_at_birth,4
